AO,,AQ,,CM,,CN,,CU,,CV,,DA,,DE,,DL,,DR,,EF,,EI,,GL,,GN,,GO,,GQ,,GR,,GV,,GX,,HJ,,HK,,HL,,IE,,IF,,IJ,,IS,,JH,,JI,,JK,,JL,,KH,,KJ,,KL,,LD,,LG,,LH,,LJ,,LK,,LO,,LP,,LR,,LW,,LX,,MC,,MG,,MN,,MU,,MV,,NG,,NM,,NV,,OG,,OQ,,OR,,PD,,QA,,QM,,QN,,QO,,QV,,RD,,RG,,RL,,RO,,RS,,SD,,SI,,SL,,SQ,,SR,,UA,,UG,,UO,,UV,,VA,,VC,,VG,,VM,,VN,,VQ,,WL,,WX,,WY,,XG,,XL,,XW,,XY,,YL,,YW,,YX
81,,168,,99,,52,,54,,44,,51,,48,,63,,65,,97,,152,,153,,52,,286,,60,,42,,569,,57,,313,,84,,50,,103,,88,,240,,68,,50,,278,,234,,88,,270,,52,,235,,48,,78,,95,,55,,246,,65,,84,,232,,361,,80,,46,,57,,68,,142,,81,,48,,150,,188,,216,,199,,172,,104,,143,,44,,43,,70,,152,,81,,89,,216,,202,,45,,43,,42,,74,,42,,205,,43,,47,,46,,133,,48,,70,,537,,87,,163,,148,,383,,292,,43,,67,,61,,343,,163,,42,,42,,334
90,,189,,105,,44,,66,,54,,58,,57,,50,,63,,107,,152,,166,,57,,306,,61,,42,,623,,57,,313,,99,,55,,113,,78,,263,,70,,55,,321,,254,,96,,271,,98,,276,,43,,70,,88,,43,,276,,73,,92,,289,,428,,96,,56,,52,,66,,167,,96,,53,,181,,204,,235,,221,,198,,123,,138,,48,,44,,77,,182,,81,,104,,287,,214,,44,,42,,42,,72,,42,,216,,46,,48,,46,,140,,49,,84,,599,,90,,184,,164,,438,,356,,42,,65,,52,,399,,179,,42,,43,,378
81,,168,,104,,48,,65,,54,,57,,48,,57,,66,,97,,136,,144,,53,,287,,59,,43,,569,,48,,302,,80,,52,,107,,78,,226,,65,,48,,282,,211,,82,,271,,65,,224,,43,,63,,94,,43,,261,,74,,96,,256,,384,,70,,57,,52,,69,,159,,88,,52,,155,,188,,221,,188,,193,,119,,144,,45,,42,,68,,160,,92,,91,,268,,184,,45,,43,,42,,61,,43,,168,,43,,48,,45,,130,,49,,80,,531,,77,,170,,159,,430,,318,,43,,68,,63,,401,,289,,42,,42,,387
81,,195,,112,,48,,70,,56,,58,,61,,60,,72,,114,,170,,164,,57,,287,,62,,43,,594,,54,,308,,83,,57,,119,,95,,261,,70,,51,,287,,259,,86,,289,,65,,251,,48,,68,,94,,48,,269,,65,,101,,269,,436,,57,,51,,48,,66,,182,,96,,57,,160,,177,,242,,198,,195,,131,,130,,46,,42,,70,,192,,88,,98,,293,,207,,47,,42,,43,,77,,42,,201,,44,,57,,43,,125,,48,,72,,558,,88,,202,,142,,437,,376,,42,,69,,51,,405,,335,,43,,42,,387
114,,223,,101,,44,,74,,57,,57,,57,,60,,68,,118,,229,,254,,48,,292,,68,,43,,813,,48,,408,,84,,50,,101,,88,,342,,72,,57,,352,,319,,131,,331,,74,,309,,46,,97,,130,,49,,336,,65,,112,,292,,525,,70,,44,,47,,69,,200,,107,,49,,172,,239,,271,,243,,299,,146,,152,,46,,42,,85,,227,,102,,110,,319,,219,,48,,42,,42,,81,,42,,216,,46,,70,,45,,163,,51,,77,,656,,122,,245,,171,,508,,432,,42,,81,,68,,461,,357,,42,,42,,447
90,,173,,143,,42,,112,,57,,55,,49,,51,,56,,93,,166,,217,,56,,265,,66,,43,,628,,55,,386,,62,,77,,81,,86,,278,,63,,70,,378,,158,,152,,320,,82,,171,,48,,96,,119,,46,,311,,57,,83,,283,,464,,60,,120,,48,,48,,138,,96,,57,,171,,198,,211,,191,,242,,112,,164,,44,,42,,74,,164,,101,,89,,286,,166,,57,,42,,42,,72,,42,,137,,44,,55,,43,,131,,45,,99,,650,,92,,179,,169,,371,,392,,42,,70,,105,,327,,249,,42,,42,,293
65,,113,,163,,42,,148,,62,,44,,48,,48,,48,,69,,127,,140,,53,,199,,57,,42,,494,,56,,309,,43,,74,,63,,68,,242,,57,,76,,293,,57,,190,,252,,65,,58,,44,,82,,97,,44,,257,,62,,88,,221,,363,,65,,176,,51,,46,,92,,74,,57,,128,,136,,160,,137,,125,,107,,112,,44,,43,,51,,104,,82,,66,,199,,115,,48,,42,,42,,66,,43,,113,,45,,47,,42,,122,,44,,96,,499,,74,,153,,109,,246,,299,,43,,60,,158,,211,,149,,42,,42,,154
57,,106,,153,,44,,138,,68,,43,,44,,44,,48,,64,,101,,133,,57,,211,,55,,42,,453,,57,,281,,45,,84,,57,,64,,199,,57,,70,,263,,61,,159,,260,,63,,66,,48,,74,,107,,46,,251,,61,,85,,204,,299,,70,,193,,48,,47,,81,,66,,55,,125,,161,,117,,131,,118,,104,,115,,43,,42,,53,,89,,72,,66,,150,,102,,46,,48,,42,,65,,42,,96,,48,,45,,44,,104,,43,,104,,473,,57,,147,,113,,252,,237,,42,,59,,151,,198,,113,,42,,42,,155
57,,88,,133,,43,,128,,64,,43,,47,,43,,48,,55,,82,,107,,57,,172,,48,,42,,324,,49,,261,,43,,69,,50,,58,,146,,48,,57,,230,,47,,132,,234,,77,,49,,43,,84,,80,,42,,239,,52,,84,,191,,275,,63,,162,,48,,45,,66,,58,,48,,101,,118,,96,,90,,110,,100,,96,,42,,42,,49,,69,,77,,61,,153,,72,,44,,42,,42,,59,,42,,74,,47,,48,,42,,92,,43,,81,,343,,53,,125,,82,,197,,221,,42,,57,,127,,171,,125,,42,,43,,113
53,,66,,107,,43,,107,,52,,42,,42,,44,,42,,44,,72,,79,,48,,116,,48,,42,,225,,45,,153,,42,,65,,48,,51,,120,,44,,63,,132,,44,,107,,144,,48,,45,,43,,62,,61,,42,,133,,44,,63,,136,,178,,57,,141,,48,,43,,46,,52,,48,,77,,97,,71,,80,,70,,70,,80,,43,,42,,44,,57,,57,,57,,99,,72,,43,,42,,42,,57,,42,,84,,44,,44,,42,,65,,42,,80,,199,,43,,86,,79,,107,,152,,42,,55,,110,,92,,83,,42,,42,,77
