AO,,AQ,,CM,,CN,,CU,,CV,,DA,,DE,,DL,,DR,,EF,,EI,,GL,,GN,,GO,,GQ,,GR,,GV,,GX,,HJ,,HK,,HL,,IE,,IF,,IJ,,IS,,JH,,JI,,JK,,JL,,KH,,KJ,,KL,,LD,,LG,,LH,,LJ,,LK,,LO,,LP,,LR,,LW,,LX,,MC,,MG,,MN,,MU,,MV,,NG,,NM,,NV,,OG,,OQ,,OR,,PD,,QA,,QM,,QN,,QO,,QV,,RD,,RG,,RL,,RO,,RS,,SD,,SI,,SL,,SQ,,SR,,UA,,UG,,UO,,UV,,VA,,VC,,VG,,VM,,VN,,VQ,,WL,,WX,,WY,,XG,,XL,,XW,,XY,,YL,,YW,,YX
54,,42,,43,,44,,65,,56,,48,,44,,42,,48,,57,,74,,59,,46,,101,,43,,43,,190,,42,,55,,54,,48,,61,,57,,93,,48,,44,,112,,48,,147,,101,,42,,44,,42,,47,,42,,44,,102,,48,,51,,42,,119,,57,,42,,44,,42,,60,,44,,43,,83,,88,,77,,92,,74,,65,,43,,42,,43,,48,,46,,56,,62,,45,,96,,43,,42,,42,,57,,73,,42,,42,,46,,42,,56,,86,,64,,149,,43,,43,,42,,120,,122,,42,,48,,43,,123,,135,,42,,42,,158
90,,81,,43,,42,,107,,49,,66,,57,,43,,72,,99,,190,,149,,68,,295,,59,,44,,628,,48,,48,,75,,48,,114,,96,,303,,71,,46,,356,,48,,111,,270,,48,,44,,44,,67,,51,,42,,258,,69,,93,,90,,413,,48,,65,,48,,42,,132,,45,,61,,198,,84,,249,,249,,197,,127,,42,,46,,43,,68,,43,,43,,107,,42,,232,,44,,42,,42,,48,,70,,42,,47,,48,,44,,114,,74,,57,,553,,69,,42,,42,,420,,376,,43,,65,,42,,376,,100,,42,,43,,92
92,,232,,48,,43,,110,,45,,61,,61,,42,,70,,114,,199,,159,,60,,328,,70,,43,,759,,49,,48,,101,,48,,113,,92,,283,,68,,43,,390,,43,,86,,351,,76,,42,,42,,68,,89,,42,,319,,70,,89,,309,,521,,42,,132,,48,,43,,141,,42,,53,,191,,58,,242,,244,,205,,154,,42,,48,,43,,71,,43,,48,,104,,42,,260,,42,,42,,42,,46,,62,,43,,46,,48,,45,,133,,55,,56,,672,,83,,43,,42,,455,,444,,43,,64,,42,,403,,74,,42,,43,,77
103,,221,,115,,42,,113,,45,,57,,57,,44,,57,,125,,213,,196,,65,,315,,65,,42,,769,,48,,52,,96,,48,,113,,84,,249,,69,,46,,415,,43,,77,,364,,60,,43,,43,,80,,98,,43,,356,,64,,113,,296,,517,,42,,124,,48,,46,,173,,43,,53,,179,,57,,250,,248,,273,,164,,43,,48,,42,,82,,42,,43,,107,,42,,234,,43,,42,,42,,46,,59,,43,,47,,48,,42,,153,,52,,51,,714,,86,,42,,42,,481,,442,,42,,68,,42,,433,,70,,43,,42,,70
84,,260,,91,,43,,104,,43,,60,,61,,72,,78,,111,,181,,169,,57,,273,,68,,44,,794,,55,,44,,88,,42,,106,,91,,268,,57,,42,,391,,43,,60,,360,,92,,141,,42,,68,,134,,43,,331,,62,,83,,309,,492,,42,,142,,48,,45,,137,,44,,57,,160,,48,,207,,269,,235,,136,,43,,45,,43,,78,,43,,42,,122,,44,,246,,44,,42,,43,,44,,48,,100,,43,,45,,44,,136,,47,,48,,669,,77,,42,,65,,430,,404,,48,,81,,42,,392,,57,,42,,43,,49
90,,238,,86,,42,,118,,42,,66,,57,,66,,79,,116,,198,,164,,66,,293,,67,,42,,852,,53,,43,,92,,42,,107,,88,,293,,77,,43,,398,,159,,52,,307,,68,,217,,42,,128,,111,,55,,327,,63,,88,,239,,522,,44,,126,,51,,48,,144,,54,,56,,194,,46,,264,,265,,216,,135,,42,,45,,,,72,,44,,42,,110,,96,,258,,42,,42,,42,,42,,46,,242,,42,,47,,44,,144,,45,,48,,672,,77,,84,,177,,470,,448,,,,68,,43,,392,,48,,42,,43,,48
83,,242,,98,,42,,97,,42,,66,,57,,68,,70,,106,,178,,156,,61,,287,,77,,45,,820,,57,,48,,99,,42,,102,,88,,363,,96,,42,,419,,252,,50,,293,,99,,284,,71,,65,,105,,48,,319,,72,,85,,295,,488,,66,,128,,47,,48,,135,,78,,52,,199,,43,,224,,285,,232,,119,,42,,48,,,,72,,68,,44,,100,,262,,244,,42,,42,,42,,43,,45,,263,,43,,48,,44,,122,,43,,44,,658,,79,,203,,156,,462,,419,,,,72,,43,,390,,43,,,,48,,47
81,,215,,82,,42,,118,,43,,70,,57,,67,,65,,115,,171,,154,,59,,314,,70,,43,,756,,60,,44,,84,,42,,110,,90,,331,,96,,42,,390,,284,,54,,335,,124,,322,,72,,107,,104,,57,,314,,66,,88,,273,,415,,76,,126,,48,,48,,144,,94,,52,,177,,42,,211,,260,,230,,152,,66,,47,,,,66,,99,,52,,88,,299,,252,,45,,44,,,,42,,43,,254,,45,,57,,44,,124,,42,,46,,606,,59,,229,,169,,442,,371,,,,78,,60,,396,,42,,,,,,42
77,,203,,117,,43,,107,,44,,65,,65,,61,,71,,111,,191,,184,,57,,333,,66,,62,,663,,52,,42,,84,,45,,120,,90,,353,,80,,48,,411,,320,,57,,349,,71,,313,,67,,79,,85,,47,,350,,66,,101,,270,,424,,57,,143,,49,,44,,171,,119,,57,,179,,43,,204,,234,,229,,158,,177,,42,,,,70,,191,,66,,100,,328,,232,,48,,42,,,,42,,44,,266,,48,,57,,43,,123,,44,,45,,621,,68,,242,,148,,458,,353,,,,67,,57,,384,,43,,,,,,46
86,,210,,110,,42,,123,,54,,57,,57,,58,,66,,121,,246,,199,,51,,333,,63,,61,,695,,57,,54,,81,,48,,112,,83,,380,,64,,42,,420,,330,,120,,335,,77,,349,,72,,69,,101,,52,,345,,69,,113,,289,,475,,57,,119,,57,,43,,173,,104,,61,,184,,77,,210,,241,,263,,160,,164,,44,,,,80,,208,,104,,106,,309,,236,,46,,42,,,,46,,66,,242,,44,,66,,44,,134,,80,,48,,644,,80,,229,,142,,447,,389,,,,68,,54,,401,,64,,,,,,57
47,,232,,92,,42,,51,,50,,42,,42,,57,,42,,57,,63,,188,,42,,77,,58,,57,,646,,54,,54,,82,,46,,43,,51,,101,,42,,43,,99,,373,,125,,74,,113,,339,,48,,86,,101,,65,,88,,44,,48,,292,,113,,57,,143,,51,,47,,57,,85,,48,,57,,92,,62,,64,,57,,61,,159,,44,,,,44,,211,,101,,48,,322,,58,,48,,43,,,,48,,108,,240,,48,,42,,42,,61,,91,,57,,646,,45,,216,,143,,99,,92,,,,77,,57,,85,,242,,,,,,248
42,,62,,100,,43,,61,,62,,43,,42,,59,,43,,48,,51,,147,,43,,71,,61,,65,,629,,54,,120,,42,,48,,42,,49,,75,,45,,48,,80,,363,,91,,84,,61,,340,,51,,76,,59,,48,,81,,43,,48,,70,,106,,69,,48,,44,,51,,46,,88,,51,,57,,125,,57,,65,,48,,57,,152,,42,,,,46,,229,,109,,44,,298,,54,,45,,48,,,,64,,128,,245,,49,,42,,42,,57,,84,,65,,545,,46,,242,,130,,84,,101,,,,72,,65,,79,,357,,,,,,349
46,,57,,57,,43,,59,,61,,42,,43,,55,,42,,43,,57,,119,,48,,74,,62,,42,,494,,56,,338,,43,,48,,44,,44,,89,,43,,52,,90,,358,,96,,91,,46,,322,,43,,74,,57,,52,,77,,45,,47,,74,,109,,57,,66,,48,,42,,46,,89,,48,,55,,223,,65,,66,,49,,48,,143,,42,,,,44,,207,,97,,47,,265,,55,,47,,42,,,,83,,43,,228,,51,,42,,43,,57,,50,,77,,486,,46,,184,,131,,95,,96,,,,80,,52,,92,,367,,,,,,375
42,,57,,48,,43,,48,,57,,42,,42,,44,,72,,42,,42,,109,,42,,48,,49,,43,,350,,55,,421,,42,,48,,48,,42,,50,,47,,48,,61,,340,,105,,53,,48,,292,,43,,73,,68,,70,,52,,43,,42,,85,,58,,70,,63,,46,,42,,44,,106,,46,,43,,216,,45,,48,,42,,43,,148,,42,,,,43,,216,,94,,43,,240,,43,,48,,42,,,,84,,42,,207,,43,,42,,46,,44,,48,,77,,376,,43,,201,,159,,57,,57,,,,66,,62,,51,,373,,,,,,416
45,,43,,65,,42,,94,,57,,44,,42,,44,,42,,46,,68,,91,,48,,120,,44,,48,,256,,48,,464,,43,,53,,42,,54,,126,,42,,56,,144,,316,,112,,156,,42,,272,,42,,72,,57,,244,,136,,48,,62,,50,,183,,50,,48,,48,,42,,42,,99,,48,,76,,225,,67,,83,,63,,60,,136,,42,,,,42,,189,,92,,54,,279,,78,,48,,42,,,,93,,84,,59,,51,,43,,43,,64,,48,,72,,240,,42,,216,,57,,112,,158,,,,48,,55,,93,,390,,,,,,463
42,,62,,54,,43,,42,,60,,43,,42,,42,,47,,42,,48,,83,,43,,43,,43,,48,,170,,48,,445,,43,,48,,42,,42,,46,,42,,57,,44,,279,,114,,43,,48,,74,,42,,66,,61,,242,,43,,42,,45,,124,,53,,48,,121,,43,,43,,43,,70,,45,,42,,197,,43,,55,,42,,42,,135,,43,,,,42,,182,,101,,42,,86,,44,,48,,43,,,,84,,83,,55,,51,,42,,48,,43,,48,,81,,175,,42,,77,,57,,46,,48,,,,57,,58,,42,,381,,,,,,425
43,,43,,92,,43,,61,,61,,60,,43,,44,,42,,42,,47,,68,,43,,71,,43,,62,,147,,47,,391,,43,,48,,44,,42,,62,,42,,57,,87,,80,,137,,90,,43,,70,,42,,62,,48,,205,,86,,42,,43,,44,,101,,55,,47,,44,,42,,48,,57,,43,,56,,228,,54,,48,,42,,48,,146,,42,,,,43,,210,,113,,43,,84,,42,,57,,43,,,,88,,66,,51,,47,,42,,42,,50,,48,,69,,142,,43,,70,,52,,77,,98,,,,48,,82,,65,,390,,,,,,430
42,,43,,44,,44,,55,,62,,46,,42,,42,,42,,42,,47,,62,,45,,62,,43,,58,,118,,48,,392,,67,,48,,42,,43,,48,,42,,48,,63,,73,,122,,66,,44,,56,,42,,57,,46,,190,,60,,42,,42,,81,,89,,303,,70,,42,,42,,49,,54,,44,,48,,234,,43,,46,,43,,45,,75,,43,,,,43,,84,,112,,42,,84,,42,,48,,42,,,,77,,62,,42,,44,,42,,42,,43,,50,,94,,98,,47,,66,,44,,56,,76,,,,48,,316,,48,,378,,,,,,466
42,,43,,74,,42,,54,,62,,42,,42,,43,,42,,42,,45,,49,,43,,57,,42,,61,,80,,45,,378,,72,,56,,46,,43,,48,,43,,54,,65,,57,,112,,62,,43,,44,,48,,49,,47,,48,,59,,43,,42,,66,,83,,283,,63,,42,,42,,48,,47,,42,,44,,172,,48,,48,,43,,42,,65,,44,,,,44,,70,,65,,42,,62,,42,,48,,44,,,,75,,42,,77,,45,,43,,43,,42,,45,,88,,68,,43,,48,,71,,52,,69,,,,45,,311,,44,,370,,,,,,409
42,,43,,63,,42,,54,,74,,42,,53,,42,,42,,44,,44,,52,,44,,60,,42,,66,,70,,43,,427,,66,,57,,42,,44,,53,,42,,74,,61,,45,,115,,62,,44,,48,,48,,48,,42,,78,,61,,43,,42,,61,,80,,248,,57,,42,,42,,172,,49,,43,,45,,206,,48,,46,,43,,44,,57,,42,,,,42,,59,,58,,44,,96,,43,,44,,42,,,,82,,48,,45,,42,,42,,42,,42,,48,,73,,66,,43,,81,,42,,56,,68,,,,43,,261,,48,,330,,,,,,421
42,,46,,52,,42,,51,,74,,43,,43,,44,,42,,43,,48,,48,,42,,56,,43,,57,,78,,42,,430,,60,,61,,113,,44,,50,,42,,53,,59,,48,,166,,65,,42,,43,,58,,48,,43,,49,,58,,44,,44,,63,,74,,252,,57,,43,,42,,64,,44,,42,,48,,223,,47,,48,,42,,44,,48,,43,,,,69,,53,,57,,42,,45,,44,,42,,43,,,,75,,43,,43,,48,,42,,42,,43,,44,,89,,65,,46,,43,,48,,53,,66,,,,42,,246,,46,,342,,,,,,429
43,,51,,57,,42,,60,,80,,43,,43,,42,,42,,44,,44,,48,,42,,61,,66,,44,,104,,44,,90,,73,,65,,42,,44,,65,,42,,57,,60,,42,,267,,59,,43,,42,,69,,51,,43,,47,,57,,45,,42,,60,,81,,67,,57,,44,,45,,48,,42,,45,,54,,148,,47,,48,,42,,45,,69,,42,,,,43,,57,,50,,42,,62,,50,,42,,,,,,70,,44,,43,,42,,42,,42,,44,,99,,94,,66,,65,,63,,44,,50,,78,,,,43,,122,,48,,70,,,,,,74
44,,44,,57,,42,,49,,81,,42,,42,,45,,50,,48,,43,,75,,42,,57,,63,,69,,247,,44,,101,,65,,61,,57,,44,,51,,44,,48,,61,,219,,252,,48,,44,,43,,62,,72,,42,,42,,54,,42,,43,,62,,74,,113,,66,,43,,42,,48,,42,,42,,49,,134,,44,,62,,48,,45,,45,,45,,,,48,,43,,53,,44,,56,,49,,42,,,,,,76,,65,,42,,43,,42,,43,,46,,96,,92,,156,,44,,48,,43,,48,,60,,,,57,,122,,48,,43,,,,,,42
49,,53,,65,,42,,43,,59,,42,,43,,42,,48,,42,,43,,134,,42,,59,,61,,61,,604,,48,,102,,99,,55,,49,,42,,66,,42,,45,,64,,331,,191,,42,,46,,43,,64,,74,,48,,42,,46,,44,,57,,55,,88,,82,,48,,52,,42,,62,,42,,48,,48,,120,,57,,57,,52,,52,,50,,42,,,,46,,43,,44,,43,,61,,71,,42,,,,,,64,,119,,44,,48,,47,,44,,48,,91,,94,,614,,48,,45,,42,,63,,90,,,,118,,84,,61,,57,,,,,,55
42,,64,,55,,43,,44,,63,,42,,42,,70,,86,,52,,48,,210,,43,,43,,66,,43,,792,,55,,70,,74,,69,,42,,44,,55,,48,,62,,48,,309,,136,,47,,48,,195,,61,,64,,45,,110,,64,,43,,48,,68,,49,,61,,48,,43,,42,,43,,42,,48,,43,,96,,47,,58,,55,,44,,45,,42,,,,46,,42,,43,,48,,57,,59,,42,,,,,,57,,141,,48,,43,,49,,45,,53,,88,,92,,728,,45,,44,,43,,51,,48,,,,85,,77,,50,,70,,,,,,70
76,,51,,44,,42,,43,,50,,42,,42,,46,,74,,48,,70,,152,,43,,80,,65,,42,,751,,48,,159,,65,,50,,43,,48,,71,,42,,45,,68,,280,,135,,57,,53,,161,,42,,62,,42,,193,,64,,65,,50,,46,,96,,57,,47,,46,,42,,90,,43,,50,,56,,92,,67,,48,,45,,57,,45,,43,,,,42,,48,,43,,44,,57,,218,,48,,,,,,61,,125,,64,,54,,43,,,,48,,48,,78,,577,,42,,48,,48,,96,,92,,,,78,,66,,81,,42,,,,,,43
48,,216,,48,,43,,44,,48,,48,,42,,48,,,,103,,48,,158,,43,,57,,61,,55,,673,,48,,48,,63,,49,,43,,43,,48,,75,,44,,49,,319,,78,,49,,48,,303,,66,,83,,59,,75,,78,,46,,48,,68,,61,,43,,42,,43,,43,,66,,48,,48,,48,,65,,52,,80,,75,,48,,44,,42,,,,44,,101,,42,,57,,57,,47,,60,,,,,,48,,107,,49,,42,,42,,,,63,,57,,65,,595,,45,,48,,48,,58,,56,,,,73,,74,,78,,44,,,,,,43
48,,44,,42,,43,,45,,48,,43,,43,,43,,,,42,,166,,201,,43,,80,,63,,57,,726,,48,,86,,66,,49,,42,,47,,90,,42,,42,,99,,292,,61,,97,,57,,268,,65,,72,,57,,211,,69,,44,,81,,62,,128,,43,,44,,43,,42,,66,,48,,57,,170,,61,,89,,53,,53,,120,,48,,42,,,,42,,133,,42,,48,,54,,92,,44,,,,,,49,,92,,72,,43,,42,,,,48,,45,,68,,629,,43,,48,,52,,149,,115,,,,70,,59,,112,,44,,,,,,43
42,,79,,42,,42,,42,,43,,66,,42,,42,,,,49,,42,,147,,57,,61,,59,,60,,678,,52,,65,,48,,45,,48,,48,,63,,44,,42,,61,,299,,48,,57,,48,,287,,44,,68,,62,,210,,243,,43,,46,,101,,81,,45,,48,,47,,43,,58,,57,,48,,44,,50,,57,,234,,184,,47,,48,,44,,,,47,,104,,43,,107,,113,,67,,43,,,,,,44,,104,,59,,59,,42,,,,142,,43,,56,,511,,43,,48,,43,,79,,76,,,,76,,66,,81,,43,,,,,,42
48,,64,,51,,42,,53,,42,,64,,43,,44,,,,48,,70,,159,,42,,287,,63,,66,,730,,55,,63,,42,,44,,43,,77,,335,,48,,43,,314,,312,,54,,303,,60,,246,,42,,74,,57,,232,,65,,42,,57,,64,,488,,127,,43,,47,,43,,48,,52,,48,,72,,44,,228,,52,,52,,59,,49,,47,,,,45,,103,,48,,48,,92,,42,,46,,,,,,48,,96,,73,,52,,44,,,,48,,85,,48,,632,,42,,56,,54,,470,,367,,,,71,,136,,402,,45,,,,,,43
44,,48,,75,,43,,46,,57,,,,44,,42,,,,44,,63,,175,,47,,64,,42,,57,,730,,43,,65,,43,,45,,44,,44,,65,,43,,42,,64,,235,,53,,55,,49,,287,,72,,87,,96,,120,,112,,44,,43,,269,,89,,358,,42,,48,,44,,48,,70,,44,,57,,43,,55,,92,,79,,56,,55,,,,,,84,,121,,57,,57,,113,,62,,47,,,,,,43,,87,,66,,44,,43,,,,71,,123,,48,,662,,42,,58,,48,,77,,71,,,,81,,364,,77,,42,,,,,,44
53,,59,,44,,43,,47,,81,,,,47,,43,,,,47,,44,,159,,43,,107,,42,,43,,634,,42,,65,,43,,45,,42,,45,,103,,46,,42,,112,,260,,53,,110,,50,,304,,71,,71,,56,,57,,57,,42,,54,,73,,148,,172,,42,,42,,42,,48,,51,,44,,61,,45,,83,,74,,71,,43,,63,,,,,,74,,96,,61,,48,,107,,48,,44,,,,,,44,,90,,210,,57,,42,,,,55,,136,,48,,566,,48,,79,,62,,160,,145,,,,79,,258,,134,,43,,,,,,43
47,,48,,43,,43,,46,,90,,,,63,,43,,,,44,,63,,57,,43,,60,,61,,43,,122,,48,,62,,43,,50,,42,,53,,78,,42,,48,,101,,335,,70,,89,,57,,252,,77,,43,,70,,234,,80,,43,,48,,107,,94,,340,,42,,44,,42,,43,,107,,48,,57,,48,,70,,57,,63,,57,,53,,,,,,,,188,,62,,46,,174,,45,,48,,,,,,43,,122,,62,,42,,43,,,,42,,170,,48,,121,,65,,58,,48,,107,,117,,,,42,,357,,104,,45,,,,,,383
44,,46,,60,,42,,43,,59,,,,64,,42,,,,42,,47,,151,,43,,74,,56,,,,57,,48,,62,,44,,68,,48,,42,,65,,45,,46,,58,,113,,146,,57,,57,,201,,72,,65,,42,,181,,56,,42,,48,,66,,49,,398,,42,,42,,43,,45,,63,,48,,44,,96,,63,,81,,68,,45,,72,,,,,,,,92,,56,,42,,112,,77,,44,,,,,,50,,88,,92,,57,,43,,,,60,,140,,65,,58,,119,,199,,137,,56,,70,,,,61,,356,,88,,347,,,,,,420
42,,63,,42,,42,,42,,61,,,,,,42,,,,45,,44,,148,,42,,47,,57,,,,511,,50,,66,,43,,43,,55,,57,,88,,47,,43,,96,,59,,216,,92,,50,,260,,45,,73,,43,,66,,87,,42,,44,,45,,86,,383,,42,,42,,43,,57,,64,,48,,78,,158,,44,,45,,42,,57,,48,,,,,,,,119,,66,,43,,297,,48,,46,,,,,,81,,79,,90,,42,,42,,,,46,,117,,70,,474,,104,,62,,48,,81,,112,,,,83,,332,,74,,269,,,,,,269
44,,48,,75,,,,45,,66,,,,,,42,,,,44,,69,,137,,48,,73,,48,,,,526,,55,,71,,42,,48,,140,,44,,47,,44,,44,,48,,54,,61,,45,,48,,106,,48,,80,,67,,42,,60,,48,,50,,74,,52,,337,,48,,42,,44,,182,,60,,48,,58,,174,,58,,63,,53,,44,,133,,,,,,,,114,,57,,53,,104,,46,,42,,,,,,74,,68,,65,,43,,42,,,,57,,106,,98,,486,,,,92,,71,,44,,48,,,,75,,331,,52,,215,,,,,,87
42,,46,,52,,,,44,,54,,,,,,43,,,,47,,62,,118,,48,,52,,43,,,,451,,45,,81,,42,,47,,120,,43,,74,,43,,43,,84,,42,,100,,81,,44,,60,,45,,82,,64,,161,,136,,42,,51,,48,,88,,57,,43,,43,,43,,164,,60,,44,,58,,179,,47,,48,,44,,62,,57,,,,,,,,113,,86,,47,,154,,44,,48,,,,,,78,,62,,58,,45,,48,,,,47,,53,,81,,476,,,,67,,57,,78,,84,,,,68,,70,,70,,79,,,,,,113
43,,42,,68,,,,48,,48,,,,,,43,,,,42,,61,,80,,44,,128,,47,,,,349,,48,,66,,44,,48,,,,50,,52,,42,,48,,71,,48,,96,,61,,56,,52,,44,,66,,64,,190,,102,,42,,52,,74,,63,,419,,43,,45,,47,,,,68,,44,,57,,154,,68,,84,,61,,57,,76,,,,,,,,90,,57,,44,,96,,45,,48,,,,,,73,,42,,43,,42,,44,,,,62,,150,,97,,347,,,,48,,48,,58,,57,,,,49,,377,,48,,96,,,,,,112
42,,42,,42,,,,47,,57,,,,,,45,,,,42,,45,,73,,44,,94,,42,,,,237,,48,,113,,91,,47,,,,48,,142,,44,,48,,152,,42,,86,,139,,48,,42,,42,,63,,63,,184,,96,,42,,48,,57,,208,,287,,44,,55,,,,,,56,,42,,48,,164,,64,,59,,50,,45,,61,,,,,,,,50,,68,,42,,65,,43,,48,,,,,,86,,107,,48,,42,,59,,,,57,,106,,76,,215,,,,63,,70,,113,,167,,,,48,,300,,90,,113,,,,,,71
58,,122,,45,,,,44,,57,,,,,,42,,,,43,,48,,70,,42,,86,,42,,,,194,,47,,80,,87,,55,,,,48,,88,,43,,50,,105,,42,,82,,113,,46,,48,,42,,59,,60,,178,,72,,42,,48,,142,,149,,103,,43,,54,,,,,,61,,42,,45,,137,,57,,62,,48,,48,,57,,,,,,,,50,,66,,42,,97,,44,,42,,,,,,75,,49,,44,,42,,59,,,,50,,100,,81,,168,,,,48,,43,,104,,121,,,,48,,59,,83,,94,,,,,,65
52,,79,,42,,,,42,,43,,,,,,63,,,,42,,43,,61,,42,,67,,42,,,,153,,43,,376,,74,,47,,,,44,,82,,42,,44,,101,,43,,101,,101,,45,,42,,42,,57,,55,,42,,65,,42,,48,,101,,144,,101,,57,,,,,,,,50,,42,,48,,191,,48,,57,,43,,43,,70,,,,,,,,45,,66,,42,,60,,99,,44,,,,,,81,,43,,81,,42,,,,,,48,,119,,80,,147,,,,62,,48,,95,,119,,,,44,,61,,77,,57,,,,,,57
149,,282,,76,,,,42,,47,,,,,,58,,,,42,,46,,55,,44,,57,,43,,,,101,,44,,72,,,,48,,,,43,,60,,48,,48,,86,,72,,100,,78,,43,,43,,42,,57,,51,,42,,57,,45,,43,,101,,107,,261,,105,,,,,,,,57,,43,,48,,183,,48,,51,,42,,43,,43,,,,,,,,51,,71,,71,,74,,57,,42,,,,,,91,,,,48,,44,,,,,,42,,110,,81,,110,,,,49,,48,,71,,90,,,,43,,248,,61,,53,,,,,,46
139,,242,,68,,,,44,,48,,,,,,,,,,64,,45,,57,,48,,58,,42,,,,90,,43,,119,,,,46,,,,42,,61,,48,,46,,66,,339,,83,,66,,46,,42,,56,,48,,48,,42,,56,,44,,44,,84,,88,,313,,47,,,,,,,,52,,48,,78,,153,,47,,48,,42,,43,,60,,,,,,,,44,,57,,55,,57,,239,,43,,,,,,80,,,,48,,43,,,,,,42,,107,,70,,70,,,,92,,72,,57,,75,,,,42,,313,,50,,45,,,,,,45
,,,,59,,,,42,,54,,,,,,,,,,48,,77,,52,,42,,57,,45,,,,79,,42,,110,,,,43,,,,43,,57,,92,,56,,63,,297,,78,,62,,43,,43,,42,,48,,48,,44,,63,,64,,66,,74,,81,,224,,44,,,,,,,,48,,48,,45,,134,,45,,48,,102,,45,,48,,,,,,,,43,,65,,106,,107,,195,,42,,,,,,57,,,,43,,47,,,,,,58,,88,,50,,64,,,,60,,57,,61,,63,,,,43,,287,,52,,45,,,,,,43
,,,,57,,,,50,,57,,,,,,,,,,96,,65,,57,,49,,57,,56,,,,66,,44,,85,,,,54,,,,48,,52,,70,,50,,57,,240,,96,,59,,43,,42,,,,49,,48,,186,,119,,63,,59,,66,,74,,206,,,,,,,,,,48,,63,,72,,173,,46,,48,,72,,73,,74,,,,,,,,42,,56,,104,,78,,,,43,,,,,,64,,,,44,,44,,,,,,65,,74,,51,,61,,,,62,,48,,53,,65,,,,57,,243,,48,,46,,,,,,42
,,,,52,,,,94,,44,,,,,,,,,,130,,200,,67,,61,,128,,57,,,,92,,48,,113,,,,57,,,,68,,61,,,,48,,57,,,,193,,60,,63,,42,,,,66,,43,,70,,93,,,,93,,57,,77,,57,,,,,,,,,,43,,59,,61,,149,,85,,96,,199,,63,,60,,,,,,,,43,,57,,,,74,,,,42,,,,,,65,,,,44,,,,,,,,152,,43,,106,,69,,,,52,,48,,49,,73,,,,96,,107,,48,,43,,,,,,105
,,,,66,,,,56,,43,,,,,,,,,,,,190,,153,,,,92,,55,,,,269,,50,,59,,,,57,,,,48,,152,,,,48,,119,,,,171,,120,,63,,42,,,,109,,42,,65,,287,,,,90,,62,,155,,51,,,,,,,,,,42,,,,,,126,,69,,63,,204,,145,,56,,,,,,,,42,,48,,,,65,,,,48,,,,,,70,,,,42,,,,,,,,112,,43,,110,,173,,,,45,,47,,112,,136,,,,90,,100,,113,,101,,,,,,410
,,,,88,,,,62,,43,,,,,,,,,,,,,,216,,,,333,,,,,,878,,48,,88,,,,55,,,,96,,92,,,,48,,99,,,,168,,70,,152,,66,,,,70,,57,,,,263,,,,,,129,,127,,56,,,,,,,,,,42,,,,,,119,,219,,252,,,,134,,50,,,,,,,,92,,48,,,,64,,,,48,,,,,,66,,,,43,,,,,,,,,,44,,103,,573,,,,45,,43,,116,,111,,,,58,,94,,123,,361,,,,,,390
,,,,50,,,,63,,42,,,,,,,,,,,,,,168,,,,319,,,,,,884,,,,80,,,,63,,,,99,,330,,,,63,,349,,,,137,,232,,101,,342,,,,84,,57,,,,,,,,,,99,,485,,48,,,,,,,,,,42,,,,,,88,,272,,196,,,,,,48,,,,,,,,99,,44,,,,57,,,,46,,,,,,66,,,,82,,,,,,,,,,113,,97,,650,,,,48,,43,,490,,413,,,,,,78,,432,,383,,,,,,384
,,,,92,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,707,,,,156,,,,61,,,,,,268,,,,48,,323,,,,127,,263,,,,287,,,,,,78,,,,,,,,,,332,,467,,48,,,,,,,,,,48,,,,,,94,,,,,,,,,,42,,,,,,,,188,,43,,,,57,,,,43,,,,,,57,,,,100,,,,,,,,,,46,,81,,527,,,,48,,44,,430,,387,,,,,,70,,361,,350,,,,,,
,,,,81,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,57,,,,,,,,,,45,,,,,,81,,,,,,246,,,,,,84,,,,,,,,,,314,,,,43,,,,,,,,,,57,,,,,,65,,,,,,,,,,48,,,,,,,,199,,43,,,,60,,,,,,,,,,57,,,,239,,,,,,,,,,48,,64,,,,,,119,,92,,,,,,,,,,65,,,,,,,,,,
