AO,,AQ,,CM,,CN,,CU,,CV,,DA,,DE,,DL,,DR,,EF,,EI,,GL,,GN,,GO,,GQ,,GR,,GV,,GX,,HJ,,HK,,HL,,IE,,IF,,IJ,,IS,,JH,,JI,,JK,,JL,,KH,,KJ,,KL,,LD,,LG,,LH,,LJ,,LK,,LO,,LP,,LR,,LW,,LX,,MC,,MG,,MN,,MU,,MV,,NG,,NM,,NV,,OG,,OQ,,OR,,PD,,QA,,QM,,QN,,QO,,QV,,RD,,RG,,RL,,RO,,RS,,SD,,SI,,SL,,SQ,,SR,,UA,,UG,,UO,,UV,,VA,,VC,,VG,,VM,,VN,,VQ,,WL,,WX,,WY,,XG,,XL,,XW,,XY,,YL,,YW,,YX
88,,193,,42,,42,,101,,75,,42,,53,,57,,69,,102,,147,,152,,55,,303,,60,,59,,635,,54,,59,,64,,43,,102,,88,,241,,72,,48,,269,,242,,88,,42,,45,,242,,56,,74,,49,,230,,46,,42,,99,,44,,42,,398,,113,,42,,42,,130,,48,,48,,172,,168,,227,,199,,182,,130,,45,,48,,42,,61,,83,,46,,107,,91,,216,,172,,65,,42,,81,,118,,46,,47,,48,,46,,122,,145,,88,,565,,42,,44,,120,,436,,397,,42,,68,,358,,402,,348,,42,,42,,392
95,,216,,112,,42,,127,,56,,62,,57,,64,,74,,106,,190,,159,,53,,279,,63,,43,,619,,51,,299,,82,,52,,96,,74,,288,,63,,48,,298,,236,,81,,255,,60,,248,,42,,101,,88,,47,,247,,65,,101,,304,,486,,71,,107,,47,,48,,128,,80,,54,,149,,164,,245,,203,,234,,133,,132,,48,,48,,71,,170,,46,,96,,327,,201,,242,,99,,68,,84,,43,,228,,48,,57,,48,,145,,55,,75,,585,,84,,192,,124,,486,,436,,44,,67,,67,,399,,368,,42,,42,,417
81,,206,,127,,43,,119,,70,,65,,55,,55,,68,,101,,159,,211,,45,,237,,66,,42,,685,,57,,328,,87,,57,,104,,77,,296,,60,,48,,327,,276,,84,,274,,95,,280,,42,,76,,106,,57,,294,,74,,101,,296,,517,,72,,130,,46,,46,,119,,101,,51,,163,,205,,199,,223,,207,,145,,126,,45,,42,,66,,210,,48,,96,,334,,218,,278,,88,,75,,87,,42,,177,,44,,56,,48,,115,,57,,88,,655,,88,,213,,125,,473,,404,,42,,78,,62,,397,,367,,42,,42,,480
78,,207,,150,,42,,136,,63,,59,,49,,59,,70,,99,,153,,169,,57,,264,,65,,43,,729,,48,,370,,84,,52,,106,,75,,260,,72,,62,,302,,283,,80,,314,,81,,252,,42,,98,,101,,48,,295,,58,,96,,264,,469,,48,,149,,48,,45,,107,,88,,50,,160,,210,,206,,216,,192,,129,,129,,47,,43,,68,,209,,48,,96,,294,,222,,261,,97,,64,,88,,42,,216,,47,,48,,43,,126,,52,,101,,553,,92,,180,,149,,456,,382,,43,,69,,52,,395,,323,,43,,48,,470
80,,214,,136,,44,,113,,61,,58,,54,,62,,72,,103,,148,,168,,58,,320,,74,,42,,653,,48,,261,,102,,56,,105,,77,,247,,70,,52,,294,,283,,88,,221,,136,,269,,42,,105,,66,,54,,255,,65,,91,,305,,515,,55,,128,,49,,47,,148,,84,,57,,185,,192,,217,,207,,191,,135,,150,,48,,42,,70,,191,,51,,96,,296,,223,,232,,78,,66,,74,,42,,214,,46,,53,,44,,139,,45,,87,,595,,79,,219,,184,,491,,441,,42,,69,,57,,434,,343,,42,,42,,395
80,,184,,130,,42,,128,,63,,64,,48,,58,,69,,113,,145,,163,,55,,319,,61,,43,,680,,56,,332,,106,,50,,106,,80,,188,,62,,52,,286,,261,,86,,294,,74,,300,,42,,74,,95,,48,,270,,71,,90,,304,,520,,60,,125,,47,,46,,130,,101,,57,,170,,249,,210,,193,,180,,139,,168,,47,,42,,68,,197,,51,,99,,306,,199,,216,,88,,70,,83,,42,,219,,44,,53,,43,,117,,44,,112,,595,,84,,207,,135,,480,,327,,42,,77,,61,,439,,386,,43,,42,,437
80,,191,,118,,42,,110,,66,,57,,61,,64,,72,,101,,175,,188,,57,,314,,61,,42,,598,,52,,304,,84,,55,,101,,81,,251,,61,,44,,285,,224,,75,,287,,68,,226,,42,,84,,86,,42,,276,,68,,104,,280,,407,,66,,113,,52,,48,,152,,83,,55,,159,,188,,207,,196,,216,,146,,137,,48,,,,68,,178,,43,,106,,262,,181,,210,,85,,71,,76,,44,,194,,43,,60,,44,,136,,51,,81,,545,,87,,181,,137,,486,,386,,43,,61,,57,,442,,358,,42,,42,,408
99,,235,,104,,42,,127,,54,,53,,57,,57,,77,,114,,252,,172,,62,,295,,60,,43,,606,,57,,318,,83,,54,,101,,78,,364,,78,,48,,375,,205,,115,,276,,62,,207,,42,,82,,96,,42,,271,,70,,113,,294,,454,,63,,121,,49,,46,,172,,90,,54,,190,,186,,263,,247,,288,,141,,128,,48,,,,79,,162,,47,,107,,299,,236,,257,,96,,73,,69,,42,,186,,44,,72,,47,,148,,48,,64,,544,,86,,194,,156,,570,,466,,43,,64,,65,,473,,377,,43,,42,,430
81,,174,,128,,43,,147,,65,,62,,46,,48,,45,,97,,160,,239,,55,,264,,70,,42,,735,,51,,407,,93,,57,,66,,81,,296,,60,,72,,385,,300,,123,,324,,73,,274,,44,,69,,107,,56,,300,,72,,96,,313,,544,,57,,177,,48,,46,,125,,112,,56,,170,,218,,179,,184,,210,,137,,143,,46,,,,82,,240,,48,,83,,353,,158,,376,,120,,96,,79,,42,,239,,46,,63,,47,,134,,48,,78,,694,,113,,234,,155,,315,,390,,42,,84,,63,,261,,374,,,,42,,486
61,,92,,153,,46,,145,,61,,48,,43,,47,,44,,75,,103,,216,,56,,210,,65,,42,,709,,51,,391,,56,,70,,57,,81,,230,,57,,74,,295,,129,,180,,320,,92,,125,,48,,84,,108,,51,,311,,57,,81,,292,,435,,62,,179,,57,,47,,84,,101,,54,,144,,220,,137,,123,,103,,99,,170,,42,,,,48,,148,,44,,65,,243,,101,,310,,107,,77,,72,,42,,136,,46,,47,,43,,100,,45,,108,,619,,96,,207,,100,,226,,325,,42,,70,,152,,196,,249,,,,42,,287
61,,96,,188,,44,,133,,66,,42,,43,,43,,45,,57,,92,,168,,56,,228,,54,,42,,528,,63,,306,,46,,80,,58,,65,,198,,53,,62,,296,,68,,182,,262,,66,,70,,48,,96,,101,,51,,256,,59,,87,,247,,396,,80,,188,,48,,44,,108,,84,,57,,130,,137,,104,,113,,120,,101,,114,,43,,,,48,,85,,46,,63,,183,,101,,195,,86,,66,,71,,42,,112,,51,,48,,44,,107,,48,,117,,542,,59,,154,,101,,236,,293,,42,,65,,190,,191,,164,,,,42,,191
57,,79,,163,,42,,151,,66,,42,,42,,42,,48,,48,,82,,145,,57,,198,,57,,43,,463,,51,,310,,44,,90,,48,,67,,149,,48,,65,,256,,62,,163,,271,,72,,64,,53,,92,,95,,48,,283,,52,,97,,233,,361,,67,,201,,52,,48,,67,,73,,57,,101,,153,,91,,76,,99,,101,,125,,44,,,,48,,68,,44,,71,,164,,65,,181,,78,,63,,68,,42,,86,,45,,42,,43,,90,,44,,101,,493,,61,,142,,92,,217,,242,,43,,66,,180,,177,,148,,,,42,,177
49,,57,,156,,43,,110,,65,,43,,43,,42,,42,,48,,70,,140,,49,,130,,51,,42,,357,,57,,304,,42,,70,,48,,51,,121,,44,,61,,156,,47,,124,,275,,64,,52,,48,,84,,91,,48,,257,,51,,57,,212,,290,,57,,153,,50,,47,,48,,66,,53,,78,,116,,71,,81,,71,,66,,99,,42,,,,42,,64,,42,,54,,154,,70,,177,,80,,54,,65,,42,,74,,42,,47,,42,,66,,42,,107,,370,,52,,127,,68,,122,,165,,42,,61,,159,,96,,128,,,,42,,121
46,,48,,122,,42,,70,,57,,44,,43,,42,,48,,47,,62,,86,,47,,96,,48,,42,,252,,56,,170,,42,,73,,44,,48,,80,,43,,65,,112,,45,,120,,158,,57,,46,,46,,67,,62,,42,,152,,48,,51,,152,,199,,57,,101,,47,,42,,42,,48,,48,,63,,90,,59,,57,,48,,49,,75,,48,,,,42,,48,,42,,45,,95,,45,,112,,62,,48,,63,,42,,76,,42,,43,,47,,48,,44,,78,,221,,44,,89,,58,,113,,133,,43,,51,,124,,86,,76,,,,42,,66
45,,43,,79,,43,,67,,57,,43,,42,,42,,84,,44,,57,,84,,48,,77,,42,,,,199,,49,,126,,42,,68,,43,,50,,85,,46,,47,,108,,42,,81,,129,,48,,43,,48,,68,,56,,42,,112,,44,,48,,112,,154,,57,,89,,44,,42,,44,,43,,46,,57,,70,,57,,57,,46,,48,,61,,48,,,,42,,43,,42,,43,,83,,45,,75,,48,,48,,60,,42,,47,,42,,42,,48,,51,,42,,69,,152,,42,,64,,48,,99,,120,,,,48,,108,,65,,48,,,,42,,62
44,,43,,81,,43,,63,,48,,42,,42,,42,,81,,42,,52,,74,,43,,66,,43,,,,159,,49,,119,,42,,67,,47,,43,,66,,42,,49,,88,,42,,71,,117,,48,,44,,48,,63,,54,,43,,101,,44,,44,,96,,148,,64,,72,,48,,42,,42,,44,,44,,48,,52,,48,,50,,42,,44,,48,,48,,,,48,,42,,48,,42,,75,,42,,65,,50,,45,,56,,,,47,,42,,42,,44,,48,,43,,67,,136,,42,,65,,51,,65,,92,,,,47,,98,,54,,47,,,,43,,50
42,,117,,70,,43,,57,,47,,48,,43,,48,,75,,43,,47,,57,,44,,58,,42,,,,107,,43,,92,,42,,58,,142,,42,,61,,42,,48,,70,,42,,63,,88,,43,,42,,42,,61,,49,,43,,78,,43,,43,,85,,112,,57,,61,,43,,44,,42,,42,,42,,47,,57,,48,,48,,45,,42,,55,,48,,,,69,,42,,48,,66,,63,,42,,57,,46,,42,,48,,,,42,,42,,42,,43,,43,,43,,50,,96,,47,,55,,44,,59,,83,,,,44,,91,,48,,43,,,,42,,50
43,,242,,64,,42,,48,,44,,64,,66,,61,,70,,44,,48,,63,,42,,57,,42,,,,88,,44,,75,,42,,52,,120,,45,,50,,42,,43,,69,,79,,57,,72,,45,,42,,42,,52,,48,,43,,65,,42,,43,,66,,95,,48,,58,,44,,51,,42,,42,,42,,48,,48,,46,,45,,42,,42,,48,,48,,,,88,,44,,48,,118,,65,,45,,52,,44,,43,,48,,,,43,,43,,63,,45,,42,,42,,51,,80,,113,,45,,44,,57,,66,,,,43,,73,,48,,43,,,,42,,48
42,,253,,48,,42,,46,,43,,70,,62,,65,,67,,69,,45,,55,,42,,57,,43,,,,83,,42,,70,,42,,47,,121,,48,,57,,42,,43,,61,,349,,57,,67,,42,,42,,42,,50,,44,,44,,64,,42,,42,,64,,77,,48,,49,,48,,43,,42,,42,,42,,48,,44,,48,,48,,83,,44,,44,,43,,,,69,,42,,44,,118,,55,,110,,48,,42,,42,,46,,,,42,,42,,57,,43,,43,,42,,44,,66,,113,,42,,43,,57,,75,,,,43,,75,,48,,42,,,,42,,44
42,,206,,57,,48,,55,,43,,64,,57,,62,,62,,113,,48,,54,,42,,59,,60,,,,72,,46,,58,,48,,44,,106,,48,,69,,53,,42,,57,,296,,57,,63,,43,,42,,43,,53,,44,,48,,61,,42,,47,,63,,84,,52,,60,,57,,48,,48,,48,,42,,48,,42,,44,,50,,177,,48,,42,,44,,,,64,,84,,45,,104,,57,,274,,51,,42,,42,,47,,,,43,,44,,48,,43,,43,,42,,45,,65,,83,,48,,45,,55,,70,,,,43,,66,,48,,42,,,,,,42
56,,189,,64,,113,,92,,48,,66,,53,,66,,73,,120,,66,,49,,48,,113,,57,,,,102,,43,,58,,104,,45,,116,,65,,148,,77,,42,,107,,232,,70,,57,,43,,72,,42,,55,,46,,49,,57,,42,,62,,59,,81,,46,,101,,57,,65,,133,,96,,47,,90,,53,,83,,110,,216,,69,,48,,47,,,,70,,187,,48,,102,,57,,314,,48,,42,,42,,45,,,,106,,48,,50,,42,,65,,47,,52,,66,,84,,48,,89,,132,,124,,,,42,,70,,120,,104,,,,,,44
98,,198,,101,,109,,109,,60,,57,,53,,57,,75,,128,,170,,67,,55,,276,,57,,,,296,,48,,149,,94,,57,,93,,115,,342,,88,,48,,319,,247,,140,,123,,57,,371,,42,,65,,55,,57,,117,,48,,101,,136,,145,,57,,136,,51,,287,,179,,104,,49,,273,,101,,219,,283,,191,,125,,91,,48,,,,64,,228,,44,,101,,118,,227,,106,,66,,48,,49,,,,252,,42,,48,,45,,142,,48,,72,,169,,70,,113,,155,,454,,391,,,,50,,88,,436,,396,,,,,,125
107,,185,,109,,101,,70,,53,,61,,55,,55,,66,,114,,179,,152,,57,,356,,57,,,,916,,51,,330,,88,,64,,104,,112,,335,,68,,55,,361,,278,,126,,247,,75,,310,,42,,101,,88,,56,,232,,84,,105,,292,,481,,56,,63,,50,,279,,163,,92,,57,,237,,199,,239,,320,,184,,143,,142,,,,,,61,,177,,46,,86,,273,,217,,185,,96,,62,,87,,,,281,,43,,48,,,,158,,44,,84,,580,,66,,227,,195,,510,,437,,,,104,,64,,436,,402,,,,,,411
91,,184,,104,,102,,68,,52,,57,,49,,62,,,,120,,163,,201,,57,,316,,59,,,,831,,48,,413,,84,,57,,116,,97,,266,,77,,57,,331,,228,,101,,338,,74,,257,,43,,84,,96,,46,,313,,74,,92,,331,,517,,53,,54,,44,,278,,152,,92,,57,,139,,259,,225,,216,,210,,141,,167,,,,,,74,,170,,46,,90,,296,,207,,270,,106,,70,,83,,,,220,,44,,46,,,,119,,48,,93,,677,,71,,220,,156,,442,,376,,,,92,,65,,393,,325,,,,,,413
81,,179,,113,,135,,69,,54,,57,,54,,57,,,,99,,172,,143,,45,,299,,59,,,,682,,57,,322,,81,,56,,95,,102,,268,,68,,54,,301,,242,,88,,265,,88,,252,,42,,102,,83,,48,,261,,72,,104,,295,,425,,60,,57,,42,,291,,165,,89,,48,,112,,171,,222,,198,,172,,130,,159,,,,,,72,,191,,,,104,,302,,176,,240,,98,,59,,79,,,,201,,44,,48,,,,120,,54,,84,,553,,83,,188,,133,,471,,385,,,,61,,57,,411,,371,,,,,,387
84,,190,,113,,,,87,,57,,63,,48,,57,,,,104,,190,,168,,57,,261,,60,,,,638,,51,,247,,79,,48,,,,89,,292,,65,,54,,319,,269,,84,,200,,120,,265,,,,90,,72,,45,,267,,77,,104,,302,,463,,64,,57,,46,,279,,143,,75,,67,,150,,112,,208,,213,,184,,128,,135,,,,,,,,162,,,,96,,287,,207,,221,,92,,61,,74,,,,190,,42,,48,,,,128,,48,,77,,572,,75,,128,,131,,429,,372,,,,65,,62,,393,,335,,,,,,391
70,,,,133,,,,57,,48,,,,,,,,,,101,,155,,189,,54,,234,,63,,,,655,,49,,375,,90,,57,,,,84,,227,,65,,48,,287,,224,,90,,327,,66,,219,,,,72,,105,,48,,286,,65,,94,,271,,428,,60,,47,,46,,,,147,,86,,66,,146,,176,,182,,169,,184,,127,,128,,,,,,,,176,,,,,,273,,225,,266,,91,,72,,83,,,,181,,43,,,,,,107,,50,,88,,558,,,,216,,119,,397,,331,,,,65,,62,,345,,327,,,,,,412
79,,,,137,,,,50,,48,,,,,,,,,,104,,128,,156,,51,,254,,57,,,,626,,52,,285,,97,,48,,,,78,,236,,64,,51,,299,,,,79,,242,,92,,243,,,,68,,82,,44,,242,,61,,84,,246,,384,,57,,48,,,,,,157,,90,,64,,163,,177,,196,,199,,198,,99,,128,,,,,,,,161,,,,,,249,,191,,211,,81,,67,,74,,,,199,,43,,,,,,124,,48,,88,,456,,,,193,,128,,397,,344,,,,66,,55,,352,,303,,,,,,349
85,,,,126,,,,66,,48,,,,,,,,,,,,152,,165,,56,,299,,,,,,589,,48,,320,,84,,56,,,,80,,293,,68,,53,,315,,,,83,,255,,60,,294,,,,74,,78,,,,234,,63,,93,,236,,435,,64,,53,,,,,,160,,92,,70,,192,,190,,226,,205,,,,125,,136,,,,,,,,190,,,,,,243,,,,209,,84,,59,,79,,,,219,,,,,,,,135,,48,,84,,566,,,,184,,179,,428,,414,,,,64,,57,,407,,312,,,,,,334
84,,,,118,,,,68,,53,,,,,,,,,,,,164,,177,,57,,281,,,,,,648,,48,,338,,,,57,,,,80,,236,,,,50,,278,,,,92,,281,,77,,234,,,,88,,101,,,,276,,70,,93,,273,,490,,69,,57,,,,,,,,,,68,,163,,242,,204,,195,,,,112,,163,,,,,,,,,,,,,,305,,,,214,,85,,65,,81,,,,186,,,,,,,,119,,48,,84,,594,,,,194,,141,,422,,327,,,,66,,51,,383,,333,,,,,,396
