Date,Delivering,Receiving,PCS
2018/4/19,A,O,45
2018/4/19,S,R,51
2018/4/19,S,Q,42
2018/4/19,S,L,56
2018/4/19,S,I,42
2018/4/19,S,D,52
2018/4/19,R,S,95
2018/4/19,R,O,48
2018/4/19,R,L,88
2018/4/19,R,G,48
2018/4/19,R,D,0
2018/4/19,Q,V,48
2018/4/19,Q,M,44
2018/4/19,Q,A,57
2018/4/19,P,D,48
2018/4/19,O,R,54
2018/4/19,O,Q,64
2018/4/19,O,G,57
2018/4/19,T,X,104
2018/4/19,N,V,60
2018/4/19,U,A,48
2018/4/19,U,O,0
2018/4/19,Y,X,43
2018/4/19,Y,W,46
2018/4/19,Y,L,43
2018/4/19,X,Y,42
2018/4/19,X,W,65
2018/4/19,X,L,69
2018/4/19,X,G,42
2018/4/19,W,Y,56
2018/4/19,W,X,45
2018/4/19,W,L,125
2018/4/19,V,Q,48
2018/4/19,V,N,67
2018/4/19,V,M,62
2018/4/19,V,G,156
2018/4/19,V,C,43
2018/4/19,V,A,42
2018/4/19,U,V,49
2018/4/19,U,G,42
2018/4/19,N,M,60
2018/4/19,T,B,74
2018/4/19,M,V,52
2018/4/19,G,X,42
2018/4/19,G,V,158
2018/4/19,G,R,42
2018/4/19,G,Q,47
2018/4/19,G,O,92
2018/4/19,G,N,48
2018/4/19,G,L,187
2018/4/19,E,I,43
2018/4/19,D,R,42
2018/4/19,D,E,43
2018/4/19,D,A,42
2018/4/19,C,V,44
2018/4/19,C,U,48
2018/4/19,C,N,0
2018/4/19,C,M,48
2018/4/19,B,G,56
2018/4/19,N,G,48
2018/4/19,I,E,42
2018/4/19,I,J,81
2018/4/19,A,Q,44
2018/4/19,J,I,119
2018/4/19,I,S,42
2018/4/19,M,N,42
2018/4/19,M,G,49
2018/4/19,M,C,56
2018/4/19,L,X,42
2018/4/19,L,W,157
2018/4/19,L,R,128
2018/4/19,L,P,60
2018/4/19,L,O,44
2018/4/19,M,U,53
2018/4/19,L,J,48
2018/4/19,L,G,183
2018/4/19,L,D,46
2018/4/19,K,L,53
2018/4/19,K,J,112
2018/4/19,J,L,81
2018/4/19,J,K,43
2018/4/19,L,K,112
2018/4/20,T,B,57
2018/4/20,S,Q,42
2018/4/20,S,L,57
2018/4/20,S,I,42
2018/4/20,S,D,48
2018/4/20,R,S,69
2018/4/20,O,Q,54
2018/4/20,R,O,48
2018/4/20,Q,O,42
2018/4/20,R,G,43
2018/4/20,Q,V,43
2018/4/20,Q,M,44
2018/4/20,Q,A,48
2018/4/20,P,D,48
2018/4/20,O,R,48
2018/4/20,T,X,90
2018/4/20,R,L,69
2018/4/20,U,A,43
2018/4/20,W,L,84
2018/4/20,U,O,42
2018/4/20,O,G,49
2018/4/20,Y,X,42
2018/4/20,Y,W,42
2018/4/20,Y,L,43
2018/4/20,X,Y,42
2018/4/20,X,W,56
2018/4/20,X,L,60
2018/4/20,X,G,43
2018/4/20,W,Y,46
2018/4/20,W,X,43
2018/4/20,V,Q,46
2018/4/20,V,N,55
2018/4/20,V,M,48
2018/4/20,V,G,107
2018/4/20,V,C,45
2018/4/20,V,A,42
2018/4/20,U,V,44
2018/4/20,U,G,0
2018/4/20,N,V,56
2018/4/20,S,R,44
2018/4/20,N,G,42
2018/4/20,I,E,43
2018/4/20,G,X,42
2018/4/20,G,V,122
2018/4/20,G,Q,44
2018/4/20,G,O,79
2018/4/20,G,N,43
2018/4/20,G,L,136
2018/4/20,E,I,43
2018/4/20,D,R,0
2018/4/20,D,L,0
2018/4/20,D,E,42
2018/4/20,C,V,43
2018/4/20,C,U,44
2018/4/20,C,M,48
2018/4/20,B,G,54
2018/4/20,A,Q,42
2018/4/20,N,M,48
2018/4/20,I,J,71
2018/4/20,I,S,46
2018/4/20,A,O,45
2018/4/20,J,K,42
2018/4/20,J,I,88
2018/4/20,M,U,45
2018/4/20,M,N,42
2018/4/20,M,G,47
2018/4/20,M,C,55
2018/4/20,L,X,0
2018/4/20,L,W,120
2018/4/20,L,R,99
2018/4/20,L,P,51
2018/4/20,M,V,44
2018/4/20,L,K,84
2018/4/20,L,J,48
2018/4/20,L,G,141
2018/4/20,L,D,44
2018/4/20,K,L,48
2018/4/20,K,J,82
2018/4/20,J,L,66
2018/4/20,L,O,43
2018/4/21,S,Q,44
2018/4/21,S,L,47
2018/4/21,S,I,0
2018/4/21,S,D,48
2018/4/21,R,S,63
2018/4/21,R,O,45
2018/4/21,R,L,65
2018/4/21,R,D,43
2018/4/21,Q,M,42
2018/4/21,Q,O,43
2018/4/21,Q,A,48
2018/4/21,P,D,48
2018/4/21,O,R,45
2018/4/21,O,Q,52
2018/4/21,O,G,53
2018/4/21,S,R,43
2018/4/21,N,V,48
2018/4/21,Q,V,43
2018/4/21,T,B,51
2018/4/21,V,M,48
2018/4/21,U,A,45
2018/4/21,Y,X,0
2018/4/21,Y,W,0
2018/4/21,Y,L,42
2018/4/21,X,W,48
2018/4/21,X,L,50
2018/4/21,X,G,42
2018/4/21,W,Y,47
2018/4/21,W,X,43
2018/4/21,W,L,65
2018/4/21,V,Q,44
2018/4/21,V,N,51
2018/4/21,V,G,108
2018/4/21,V,C,46
2018/4/21,V,A,42
2018/4/21,U,V,44
2018/4/21,U,O,44
2018/4/21,U,G,42
2018/4/21,T,X,64
2018/4/21,N,M,48
2018/4/21,M,V,46
2018/4/21,M,U,47
2018/4/21,G,V,96
2018/4/21,G,Q,43
2018/4/21,G,O,74
2018/4/21,G,N,42
2018/4/21,G,L,132
2018/4/21,E,I,0
2018/4/21,D,R,0
2018/4/21,G,X,42
2018/4/21,D,L,42
2018/4/21,D,A,0
2018/4/21,C,V,48
2018/4/21,C,U,48
2018/4/21,C,M,50
2018/4/21,B,G,48
2018/4/21,A,Q,44
2018/4/21,N,G,43
2018/4/21,D,E,42
2018/4/21,I,E,43
2018/4/21,A,O,43
2018/4/21,I,S,44
2018/4/21,I,J,60
2018/4/21,M,G,42
2018/4/21,M,C,57
2018/4/21,L,X,42
2018/4/21,L,W,104
2018/4/21,L,R,80
2018/4/21,L,P,52
2018/4/21,L,O,42
2018/4/21,M,N,42
2018/4/21,L,J,43
2018/4/21,L,G,120
2018/4/21,L,D,42
2018/4/21,K,L,48
2018/4/21,K,J,85
2018/4/21,J,L,60
2018/4/21,J,K,0
2018/4/21,L,K,82
2018/4/21,J,I,84
2018/4/22,S,R,43
2018/4/22,S,Q,42
2018/4/22,S,L,49
2018/4/22,S,I,42
2018/4/22,S,D,43
2018/4/22,R,S,57
2018/4/22,R,O,43
2018/4/22,Q,V,42
2018/4/22,R,G,42
2018/4/22,R,D,0
2018/4/22,Q,M,42
2018/4/22,Q,A,45
2018/4/22,P,D,42
2018/4/22,O,R,43
2018/4/22,T,B,48
2018/4/22,R,L,63
2018/4/22,T,X,67
2018/4/22,W,X,42
2018/4/22,U,O,42
2018/4/22,O,Q,57
2018/4/22,Y,X,42
2018/4/22,Y,W,42
2018/4/22,Y,L,0
2018/4/22,X,Y,42
2018/4/22,X,W,48
2018/4/22,X,L,53
2018/4/22,U,A,42
2018/4/22,X,G,42
2018/4/22,W,L,66
2018/4/22,V,Q,44
2018/4/22,V,N,57
2018/4/22,V,M,48
2018/4/22,V,G,74
2018/4/22,V,C,42
2018/4/22,U,V,42
